SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
2,39,2197391,2197449,2175517,2054723,1968682,1933653,1990284,1937724,2001289,2019890,2062635
2,40,2192025,2192083,2197714,2177380,2056956,1970882,1936462,1993876,1941252,2003755,2022766
2,41,2067167,2067224,2089344,2198920,2178624,2058505,1972856,1939628,1996945,1943630,2006441
2,42,2047451,2047505,2050764,2089825,2199514,2179345,2059794,1975181,1941945,1998611,1945641
2,43,2069115,2069167,2062640,2050730,2090032,2199478,2179679,2060929,1976227,1942408,1999241
2,44,2121229,2121296,2103715,2062257,2050648,2089651,2199325,2180067,2061451,1976273,1942802
2,45,2271418,2271480,2236450,2102614,2061261,2049571,2088943,2198840,2179737,2060652,1975992
2,46,2288779,2288842,2290734,2234389,2100654,2059382,2048239,2087887,2197663,2177858,2059393
2,47,2297017,2297079,2297344,2287754,2231689,2098294,2057526,2046627,2086209,2195215,2175691
2,48,2301062,2301109,2299176,2293610,2284357,2228473,2095569,2055039,2044309,2083247,2192223
2,49,2341230,2341267,2336444,2294674,2289396,2280204,2224747,2092370,2051959,2040772,2079841
2,50,2359941,2359986,2355136,2330997,2289705,2284421,2275340,2220181,2088279,2047426,2036538
2,51,2273865,2273919,2289010,2349145,2325236,2283695,2278579,2269811,2214916,2082919,2042479
2,52,2293600,2293632,2283257,2282375,2342387,2318221,2277097,2272289,2263807,2208636,2077402
2,53,2239000,2239038,2268320,2276086,2275126,2334982,2310893,2270192,2265449,2256662,2201960
2,54,2198445,2198481,2196662,2260522,2268244,2267184,2327063,2303265,2262688,2257465,2248978
2,55,2181236,2181263,2183579,2188320,2252044,2259550,2258619,2318599,2294639,2253855,2248963
2,56,2081372,2081399,2108551,2174953,2179549,2242483,2250203,2249318,2309101,2284985,2244572
2,57,2031031,2031052,2036395,2099407,2165747,2169625,2232528,2240108,2239209,2298420,2274643
2,58,1960120,1960152,1963634,2026970,2089784,2155385,2159320,2221691,2229263,2227999,2287131
2,59,1887398,1887420,1914666,1953763,2017088,2079145,2144625,2148345,2210095,2217447,2216349
2,60,1875624,1875655,1874384,1904511,1943262,2005904,2067832,2133026,2136440,2197354,2204821
2,61,1813519,1813542,1828619,1863525,1893447,1931508,1994061,2055592,2120410,2123242,2184082
2,62,1850490,1850514,1815930,1816452,1851651,1881167,1919317,1981229,2042425,2106559,2109543
2,63,1811555,1811581,1898190,1802408,1803256,1838633,1868203,1905868,1967491,2027781,2091595
2,64,1389236,1389270,1414144,1882732,1787930,1788858,1824850,1854004,1891312,1951989,2012074
2,65,1407451,1407476,1405763,1401843,1866560,1772137,1773658,1809548,1838605,1875168,1935507
2,66,1390865,1390900,1381492,1392441,1388700,1848770,1755377,1757288,1793199,1821593,1857985
2,67,1400459,1400488,1423519,1366776,1378313,1374286,1829758,1737442,1739519,1775074,1803359
2,68,1236376,1236397,1254076,1406853,1350998,1362579,1359031,1809526,1718216,1720249,1755485
2,69,1147565,1147584,1161027,1237872,1388986,1333442,1345951,1342483,1787702,1697348,1699744
2,70,1097510,1097536,1108487,1144407,1220546,1369242,1315517,1327735,1324761,1763688,1674714
