pop,age,lx
IL,45,94687
IL,46,94410
IL,47,94109
IL,48,93770
IL,49,93422
IL,50,93040
IL,51,92643
IL,52,92188
IL,53,91735
IL,54,91283
IL,55,90761
IL,56,90156
IL,57,89559
IL,58,88879
IL,59,88130
IL,60,87334
IL,61,86468
IL,62,85559
IL,63,84597
IL,64,83550
IL,65,82422
IL,66,81226
IL,67,80033
IL,68,78748
IL,69,77386
IL,70,75972
IL,71,74462
IL,72,72839
IL,73,71104
IL,74,69281
IL,75,67385
IL,76,65248
IL,77,63142
IL,78,60851
IL,79,58298
IL,80,55517
IL,81,52674
IL,82,49828
IL,83,46800
IL,84,43514
IL,85,40219
IL,86,36937
IL,87,33443
IL,88,29979
IL,89,26594
IL,90,23144
IL,91,19911
IL,92,16756
IL,93,13808
IL,94,11148
IL,95,8802
IL,96,6800
IL,97,5120
IL,98,3751
IL,99,2669
IL,100,1843
IN,0,100000
IN,1,99278
IN,2,99219
IN,3,99182
IN,4,99154
IN,5,99135
IN,6,99115
IN,7,99101
IN,8,99089
IN,9,99076
IN,10,99063
IN,11,99050
IN,12,99033
IN,13,99015
IN,14,98993
IN,15,98966
IN,16,98932
IN,17,98874
IN,18,98809
IN,19,98711
IN,20,98616
IN,21,98517
IN,22,98424
IN,23,98307
IN,24,98180
IN,25,98063
IN,26,97920
IN,27,97761
IN,28,97590
IN,29,97438
IN,30,97229
IN,31,97038
IN,32,96853
IN,33,96605
IN,34,96373
IN,35,96148
IN,36,95908
IN,37,95672
IN,38,95437
IN,39,95162
IN,40,94900
IN,41,94633
IN,42,94351
IN,43,94020
IN,44,93663
IN,45,93321
IN,46,92941
IN,47,92550
IN,48,92108
IN,49,91646
IN,50,91153
IN,51,90686
IN,52,90148
IN,53,89595
IN,54,89013
IN,55,88408
IN,56,87691
IN,57,86964
IN,58,86130
IN,59,85239
IN,60,84338
IN,61,83284
IN,62,82170
IN,63,81042
IN,64,79826
IN,65,78578
IN,66,77256
IN,67,75807
IN,68,74386
IN,69,72823
IN,70,71260
IN,71,69597
IN,72,67831
IN,73,65928
IN,74,63873
IN,75,61856
IN,76,59450
IN,77,57100
IN,78,54413
IN,79,51819
IN,80,48935
IN,81,46062
IN,82,43062
IN,83,40019
IN,84,36943
IN,85,33763
IN,86,30584
IN,87,27468
IN,88,24268
IN,89,21266
IN,90,18402
IN,91,15501
IN,92,12937
IN,93,10428
