Austria, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        Exposure
1974     18        54729.52
1974     19        52336.41
1974     20        51380.74
1974     21        51316.09
1974     22        50721.99
1974     23        51009.83
1974     24        51495.38
1974     25        54242.61
1974     26        55001.48
1974     27        53911.41
1974     28        39722.96
1974     29        46502.32
1974     30        51702.95
1974     31        49983.58
1974     32        55316.51
1974     33        59690.97
1974     34        64049.73
1974     35        51983.36
1974     36        39962.27
1974     37        38522.16
1974     38        38674.38
1974     39        39159.45
1974     40        40006.11
1974     41        41836.88
1974     42        42951.85
1974     43        44715.11
1974     44        45351.04
1974     45        45491.19
1974     46        45842.38
1974     47        47909.66
1974     48        51113.23
1974     49        53798.52
1974     50        55183.35
1974     51        56209.21
1974     52        56410.60
1974     53        55485.39
1974     54        50907.66
1974     55        34985.67
1975     12        65022.35
1975     13        63769.62
1975     14        62026.77
1975     15        60080.77
1975     16        58503.96
1975     17        57119.62
1975     18        56555.90
1975     19        54809.72
1975     20        52224.39
1975     21        51159.10
1975     22        51009.64
1975     23        50364.60
1975     24        50669.24
1975     25        51120.70
1975     26        53890.47
1975     27        54672.22
1975     28        53585.95
1975     29        39473.69
1975     30        46252.45
1975     31        51480.13
1975     32        49763.67
1975     33        55104.15
1975     34        59503.97
1975     35        63830.23
1975     36        51786.77
1975     37        39766.17
1975     38        38345.92
1975     39        38507.69
1975     40        38995.89
1975     41        39852.46
1975     42        41672.69
1975     43        42769.51
1975     44        44541.32
1975     45        45196.83
1975     46        45320.02
1975     47        45642.90
1975     48        47685.11
1975     49        50864.17
1975     50        53553.21
1975     51        54939.53
1975     52        55939.07
1975     53        56134.00
1975     54        55175.75
1975     55        50588.88
1976     12        64794.82
1976     13        65192.83
1976     14        63999.84
1976     15        62303.25
1976     16        60368.69
1976     17        58806.19
1976     18        57366.97
1976     19        56829.74
1976     20        55000.92
1976     21        52239.80
1976     22        51091.30
1976     23        50831.91
1976     24        50146.47
1976     25        50401.10
1976     26        50892.48
1976     27        53679.04
1976     28        54462.12
1976     29        53380.00
1976     30        39329.13
1976     31        46118.00
1976     32        51355.19
1976     33        49634.87
1976     34        54981.16
1976     35        59382.06
1976     36        63712.20
1976     37        51656.20
1976     38        39645.21
1976     39        38238.02
1976     40        38411.80
1976     41        38889.73
1976     42        39745.71
1976     43        41554.07
1976     44        42638.17
1976     45        44410.42
1976     46        45064.85
1976     47        45177.90
1976     48        45466.08
1976     49        47488.06
1976     50        50661.38
1976     51        53324.46
1976     52        54704.32
1976     53        55677.58
1976     54        55870.56
1976     55        54874.92
1977     12        64182.89
1977     13        64982.73
1977     14        65454.69
1977     15        64343.08
1977     16        62683.64
1977     17        60808.88
1977     18        59246.58
1977     19        57797.03
1977     20        57326.31
1977     21        55401.13
1977     22        52481.19
1977     23        51232.82
1977     24        50854.46
1977     25        50099.25
1977     26        50345.33
1977     27        50859.87
1977     28        53659.11
1977     29        54429.14
1977     30        53352.53
1977     31        39325.99
1977     32        46122.35
1977     33        51368.47
1977     34        49634.87
1977     35        54990.74
1977     36        59394.07
1977     37        63698.51
1977     38        51644.43
1977     39        39629.04
1977     40        38226.71
1977     41        38385.56
1977     42        38866.10
1977     43        39721.69
1977     44        41511.57
1977     45        42569.16
1977     46        44326.09
1977     47        44978.77
1977     48        45077.39
1977     49        45316.38
1977     50        47322.33
1977     51        50480.72
1977     52        53129.85
1977     53        54477.00
1977     54        55454.18
1977     55        55609.59
1978     12        61970.26
1978     13        64315.05
1978     14        65138.81
1978     15        65690.50
1978     16        64625.49
1978     17        63030.33
1978     18        61130.37
1978     19        59567.56
1978     20        58107.74
1978     21        57642.43
1978     22        55646.01
1978     23        52571.60
1978     24        51219.55
1978     25        50758.20
1978     26        49933.86
1978     27        50193.45
1978     28        50719.53
1978     29        53535.03
1978     30        54311.99
1978     31        53250.04
1978     32        39248.14
1978     33        46067.92
1978     34        51320.59
1978     35        49596.20
1978     36        54950.58
1978     37        59355.54
1978     38        63641.94
1978     39        51585.71
1978     40        39565.95
1978     41        38158.75
1978     42        38335.99
1978     43        38804.06
1978     44        39657.53
1978     45        41442.83
1978     46        42470.21
1978     47        44211.48
1978     48        44866.30
1978     49        44939.76
1978     50        45141.34
1978     51        47133.02
1978     52        50268.64
1978     53        52885.75
1978     54        54219.78
1978     55        55182.87
1979     12        61645.67
1979     13        62068.49
1979     14        64424.72
1979     15        65282.83
1979     16        65887.89
1979     17        64888.64
1979     18        63214.72
1979     19        61307.60
1979     20        59745.77
1979     21        58238.78
1979     22        57813.54
1979     23        55762.05
1979     24        52544.25
1979     25        51132.43
1979     26        50566.45
1979     27        49702.99
1979     28        49954.73
1979     29        50524.56
1979     30        53366.44
1979     31        54152.62
1979     32        53092.57
1979     33        39152.78
1979     34        45977.14
1979     35        51235.43
1979     36        49513.24
1979     37        54883.41
1979     38        59266.98
1979     39        63544.05
1979     40        51491.05
1979     41        39475.67
1979     42        38091.46
1979     43        38254.39
1979     44        38708.16
1979     45        39576.30
1979     46        41348.02
1979     47        42351.25
1979     48        44065.00
1979     49        44725.62
1979     50        44774.42
1979     51        44951.52
1979     52        46898.62
1979     53        50022.91
1979     54        52613.52
1979     55        53931.40
1980     12        60957.19
