"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Feb., 2016"	"2016/02"	1894	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2016"	"2016/03"	2011	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2016"	"2016/04"	1889	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2016"	"2016/05"	1951	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2016"	"2016/06"	1945	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2016"	"2016/07"	1935	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2016"	"2016/08"	1972	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2016"	"2016/09"	1931	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2016"	"2016/10"	1971	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2016"	"2016/11"	1836	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2016"	"2016/12"	1894	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2017"	"2017/01"	1887	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2017"	"2017/02"	1714	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2017"	"2017/03"	1901	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2017"	"2017/04"	1880	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2017"	"2017/05"	1879	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2017"	"2017/06"	1967	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2017"	"2017/07"	1780	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2017"	"2017/08"	1896	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2017"	"2017/09"	1906	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2017"	"2017/10"	1880	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2017"	"2017/11"	1798	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2017"	"2017/12"	1847	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jan., 2018"	"2018/01"	1900	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Feb., 2018"	"2018/02"	1657	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Mar., 2018"	"2018/03"	1872	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Apr., 2018"	"2018/04"	1756	Not Applicable	Not Applicable
	"< 1 year"	"1"	"May, 2018"	"2018/05"	1785	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jun., 2018"	"2018/06"	1707	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Jul., 2018"	"2018/07"	1826	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Aug., 2018"	"2018/08"	1813	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Sep., 2018"	"2018/09"	1830	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Oct., 2018"	"2018/10"	1858	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Nov., 2018"	"2018/11"	1724	Not Applicable	Not Applicable
	"< 1 year"	"1"	"Dec., 2018"	"2018/12"	1739	Not Applicable	Not Applicable
"Total"	"< 1 year"	"1"			517384	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jan., 1999"	"1999/01"	469	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Feb., 1999"	"1999/02"	451	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Mar., 1999"	"1999/03"	467	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Apr., 1999"	"1999/04"	418	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"May, 1999"	"1999/05"	436	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jun., 1999"	"1999/06"	472	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jul., 1999"	"1999/07"	470	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Aug., 1999"	"1999/08"	426	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Sep., 1999"	"1999/09"	382	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Oct., 1999"	"1999/10"	411	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Nov., 1999"	"1999/11"	376	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Dec., 1999"	"1999/12"	471	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jan., 2000"	"2000/01"	481	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Feb., 2000"	"2000/02"	416	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Mar., 2000"	"2000/03"	403	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Apr., 2000"	"2000/04"	394	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"May, 2000"	"2000/05"	433	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jun., 2000"	"2000/06"	391	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jul., 2000"	"2000/07"	477	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Aug., 2000"	"2000/08"	408	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Sep., 2000"	"2000/09"	403	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Oct., 2000"	"2000/10"	367	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Nov., 2000"	"2000/11"	354	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Dec., 2000"	"2000/12"	452	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jan., 2001"	"2001/01"	476	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Feb., 2001"	"2001/02"	445	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Mar., 2001"	"2001/03"	447	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Apr., 2001"	"2001/04"	433	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"May, 2001"	"2001/05"	433	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jun., 2001"	"2001/06"	424	Not Applicable	Not Applicable
	"1-4 years"	"1-4"	"Jul., 2001"	"2001/07"	460	Not Applicable	Not Applicable
