Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1999:Q1,age55to69,35.9,33.6,26.5,26.8,40.6,35.3,38.7,32.8,18.6,17.6,18.4,32
1999:Q1,age40to54,35.4,36.4,37.1,37.6,33.8,41.5,38.6,30,42.9,45.9,34.8,41
1999:Q1,ageunder40,10.2,13.6,18.1,25.1,7.5,12,12.7,12.3,34.9,33.4,45,9.3
1999:Q2,age70plus,18.2,16.3,18.5,10.1,17.7,11.1,9.5,24.6,3.7,3.1,1.7,18.6
1999:Q2,age55to69,36.1,33.8,26.5,26.8,41.7,35,40.5,32,19,17.8,18.8,34
1999:Q2,age40to54,35.7,36.6,37.1,37.8,33.3,42.1,38.2,31,42.1,45.1,34.3,38.6
1999:Q2,ageunder40,9.9,13.4,17.9,25.3,7.3,11.8,11.8,12.5,35.2,33.9,45.3,8.8
1999:Q3,age70plus,19.1,16.9,17.8,10.7,19.2,11.4,12.2,25.9,3.7,3,2,18.9
1999:Q3,age55to69,35.2,32.9,26.5,26.5,40.1,34.6,38.4,31,18.3,17.3,17.7,34.5
1999:Q3,age40to54,35.9,36.9,37.7,38.1,33.4,42.5,38,31.1,43.2,46.2,35.5,38.5
1999:Q3,ageunder40,9.8,13.3,17.9,24.7,7.4,11.5,11.3,12.1,34.8,33.5,44.7,8.1
1999:Q4,age70plus,18.6,16.6,18.2,9.8,18,11.2,10.8,25.9,4,3.3,1.7,20.4
1999:Q4,age55to69,36,33.7,26.4,26.7,42.6,34.4,41.4,29.6,19.2,17.7,18.8,37.1
1999:Q4,age40to54,35.5,36.5,37.7,38.2,32.4,42.8,37.2,30.1,42.5,46.1,34,35
1999:Q4,ageunder40,10,13.2,17.7,25.2,7,11.5,10.7,14.4,34.4,32.9,45.5,7.5
2000:Q1,age70plus,18.6,16.7,18,9.8,18.4,11.4,11.9,25.5,4.4,3.6,1.6,22
